58.4 deg N, 26.7 deg E Temperature Anomalies
189804,-2.55
189805,0.56
189806,-0.20
189807,-1.44
189808,0.28
189809,-1.70
189810,-2.51
189811,1.56
189812,1.40
189901,0.09
189902,-1.05
189903,-4.34
189904,-1.78
189905,-1.91
189906,-3.22
189907,0.75
189908,-2.95
189909,-0.24
189910,-0.46
189911,1.50
189912,-3.74
190001,-2.64
190002,-2.69
190003,-2.82
190004,-3.23
190005,-2.40
190006,-1.21
190007,-1.21
190008,0.49
190009,-1.02
190010,0.04
190011,0.49
190012,0.00
190101,-0.20
190102,-3.21
190103,-2.52
190104,-1.47
190105,-0.61
190106,2.19
190107,1.11
190108,1.23
190109,0.46
190110,1.60
190111,-1.73
190112,-2.85
190201,-0.51
190202,-1.25
190203,-2.49
190204,-5.12
190205,-3.20
190206,-2.01
190207,-3.27
190208,-2.87
190209,-2.06
190210,-2.93
190211,-2.83
190212,-4.83
190301,-0.67
190302,2.98
190303,1.95
190304,-0.54
190305,-0.29
190306,0.84
190307,-1.36
190308,-1.92
190309,0.30
190310,-3.08
190311,1.01
190312,0.11
190401,0.94
190402,-0.70
190403,-3.19
190404,-1.71
190405,-3.43
190406,-3.00
190407,-3.51
190408,-2.32
190409,-1.30
190410,-0.35
190411,-1.52
190412,-1.08
190501,-3.64
190502,0.81
190503,-0.38
190504,-2.82
190505,0.11
190506,1.44
190507,-0.93
190508,-1.34
190509,-1.32
190510,-2.74
190511,0.26
190512,0.03
190601,0.49
190602,0.70
190603,-2.04
190604,0.18
190605,2.93
190606,0.43
190607,0.09
190608,-2.22
190609,-2.18
190610,-1.31
190611,1.02
190612,-1.26
190701,-4.93
190702,-1.11
190703,-1.44
190704,-2.47
190705,-2.45
190706,-0.65
190707,-1.84
190708,-3.08
190709,-1.44
190710,2.55
190711,-1.77
190712,-5.89
190801,-1.78
190802,0.59
190803,-2.64
190804,-1.80
190805,-2.31
190806,-0.82
190807,-0.90
190808,-1.53
190809,-1.44
190810,-1.29
190811,-3.93
190812,-1.63
190901,-0.74
190902,-4.42
190903,-2.25
190904,-4.35
190905,-4.95
190906,-1.10
190907,-2.48
190908,-1.37
190909,1.12
190910,2.57
190911,-1.81
190912,1.39
191001,0.52
191002,3.01
191003,0.88
191004,0.16
191005,0.58
191006,0.21
191007,-1.26
191008,-2.59
191009,-0.21
191010,-1.97
191011,-1.41
191012,1.77
191101,-0.62
191102,-4.17
191103,-1.44
191104,-2.16
191105,-0.15
191106,-1.89
191107,-2.57
191108,0.49
191109,-0.69
191110,-1.74
191111,1.23
191112,0.11
191201,-6.16
191202,-4.33
191203,0.63
191204,-3.34
191205,-3.29
191206,0.62
191207,-0.98
191208,-0.17
191209,-2.43
191210,-4.64
191211,-0.96
191212,1.88
191301,-2.24
191302,-0.49
191303,0.65
191304,0.71
191305,-2.38
191306,-1.81
191307,-0.48
191308,-0.08
191309,-0.31
191310,-1.80
191311,1.86
191312,-0.19
191401,-2.87
191402,3.24
191403,-0.70
191404,-1.58
191405,-0.87
191406,0.40
191407,2.51
191408,-2.10
191409,-1.39
191410,-3.00
191411,-1.79
191412,3.02
191501,-1.48
191502,-0.58
191503,-5.79
191504,-2.01
191505,-2.38
191506,-2.52
191507,-0.80
191508,-2.07
191509,-1.66
191510,-2.81
191511,-2.40
191512,-5.04
191601,0.50
191602,1.18
191603,-1.54
191604,-0.65
191605,-2.36
191606,-1.22
191607,-0.57
191608,-2.78
191609,-2.36
191610,-2.27
191611,1.43
191612,-0.20
191701,-4.19
191702,-6.63
191703,-7.28
191704,-2.88
191705,-2.79
191706,2.27
191707,-1.96
191708,1.03
191709,-0.28
191710,0.17
191711,1.09
191712,-1.84
191801,-2.65
191802,-0.19
191803,-1.55
191804,0.72
191805,-2.82
191806,-2.41
191807,-1.01
191808,-1.98
191809,-0.45
191810,1.43
191811,0.78
191812,-0.86
191901,-0.85
191902,-2.58
191903,-3.57
191904,-2.31
191905,-1.74
191906,0.36
191907,-0.24
191908,-1.93
191909,0.90
191910,-1.28
191911,-5.01
191912,-2.86
192001,-2.33
192002,1.33
192003,2.18
192004,2.07
192005,1.41
192006,-1.75
192007,0.53
192008,-0.46
192009,0.30
192010,-3.23
192011,0.05
192012,-0.62
192101,-0.28
192102,-1.78
192103,2.31
192104,2.18
192105,1.90
192106,-0.50
192107,-3.00
192108,-1.09
192109,-1.52
192110,-1.71
192111,-3.91
192112,-2.20
192201,-3.47
192202,-2.79
192203,-1.95
192204,-2.60
192205,-1.10
192206,-0.67
192207,-0.80
192208,-1.50
192209,-0.84
192210,-3.30
192211,-0.75
192212,-0.46
192301,1.59
192302,-4.99
192303,-1.48
192304,-3.88
192305,-2.48
192306,-3.69
192307,-1.60
192308,-3.04
192309,0.04
192310,0.67
192311,1.82
192312,-1.00
192401,-5.00
192402,-2.66
192403,-2.95
192404,-3.94
192405,-1.18
192406,-0.85
192407,-1.67
192408,-0.23
192409,1.23
192410,1.02
192411,1.17
192412,1.24
192501,3.64
192502,3.92
192503,-2.30
192504,0.32
192505,0.71
192506,-1.94
192507,0.94
192508,-0.94
192509,-1.33
192510,-2.64
192511,-2.52
192512,-2.69
192601,-4.51
192602,-1.67
192603,-2.28
192604,-2.63
192605,-1.12
192606,-0.39
192607,-1.05
192608,-2.11
192609,-1.14
192610,-3.25
192611,2.62
192612,-2.85
192701,-3.16
192702,-0.71
192703,0.59
192704,-2.41
192705,-3.87
192706,-1.67
192707,1.43
192708,0.93
192709,-0.03
192710,-1.79
192711,-2.45
192712,-4.75
192801,-0.66
192802,-1.12
192803,-2.36
192804,-2.05
192805,-1.79
192806,-3.75
192807,-2.99
192808,-1.93
192809,-0.77
192810,-0.77
192811,2.74
192812,-0.53
192901,-4.68
192902,-9.47
192903,-3.20
192904,-6.55
192905,-0.17
192906,-2.59
192907,-1.85
192908,-0.58
192909,-0.90
192910,1.03
192911,2.12
192912,3.13
193001,3.13
193002,-1.01
193003,-0.14
193004,0.02
193005,0.21
193006,-0.30
193007,-0.83
193008,0.09
193009,-2.20
193010,-0.24
193011,1.50
193012,-2.09
193101,-2.22
193102,-3.56
193103,-4.80
193104,-3.22
193105,0.35
193106,-2.41
193107,-0.19
193108,-0.65
193109,-2.48
193110,-1.78
193111,-0.54
193112,-1.01
193201,2.39
193202,-4.13
193203,-4.66
193204,-1.58
193205,0.49
193206,-1.49
193207,1.46
193208,0.74
193209,0.71
193210,-0.71
193211,0.33
193212,3.49
193301,-3.31
193302,-1.30
193303,-1.12
193304,-2.63
193305,-2.85
193306,-0.28
193307,0.18
193308,-2.12
193309,-0.57
193310,-0.67
193311,-2.49
193312,-4.12
193401,1.36
193402,1.22
193403,-0.18
193404,0.15
193405,1.22
193406,-1.06
193407,0.40
193408,-0.02
193409,2.74
193410,1.92
193411,2.77
193412,-0.63
193501,-3.30
193502,1.64
193503,-0.87
193504,-1.63
193505,-3.46
193506,0.61
193507,-2.42
193508,-0.67
193509,-0.47
193510,1.61
193511,0.04
193512,1.20
193601,1.41
193602,-4.04
193603,0.67
193604,-1.19
193605,0.28
193606,2.61
193607,1.99
193608,-0.50
193609,-1.08
193610,-3.17
193611,1.26
193612,3.05
193701,-3.25
193702,-0.24
193703,-0.79
193704,0.58
193705,0.74
193706,1.79
193707,-0.28
193708,1.25
193709,1.43
193710,0.32
193711,0.88
193712,-3.71
193801,-0.21
193802,1.95
193803,2.03
193804,-2.28
193805,-1.74
193806,-0.79
193807,1.59
193808,2.16
193809,2.57
193810,1.07
193811,3.34
193812,-1.90
193901,-0.64
193902,3.55
193903,-1.35
193904,-2.12
193905,-2.62
193906,0.29
193907,0.27
193908,2.38
193909,-1.51
193910,-3.42
193911,0.59
193912,-1.76
194001,-9.02
194002,-7.83
194003,-5.48
194004,-3.15
194005,-0.78
194006,-0.54
194007,-0.33
194008,-1.25
194009,-0.59
194010,-1.47
194011,1.31
194012,-1.82
194101,-8.18
194102,-2.71
194103,-4.09
194104,-5.02
194105,-4.75
194106,-2.83
194107,1.29
194108,-0.45
194109,-2.40
194110,-2.66
194111,-2.95
194112,-4.64
194201,-9.77
194202,-5.22
194203,-7.73
194204,-2.72
194205,-2.35
194206,-2.05
194207,-1.94
194208,0.16
194209,-0.16
194210,0.36
194211,-1.60
194212,0.34
194301,-4.32
194302,3.29
194303,1.47
194304,0.14
194305,-1.46
194306,0.15
194307,-0.82
194308,-0.48
194309,0.15
194310,1.50
194311,1.41
194312,2.57
194401,2.70
194402,0.74
194403,-1.19
194404,-3.38
194405,-2.55
194406,-1.44
194407,-0.11
194408,0.62
194409,0.40
194410,0.79
194411,0.47
194412,0.54
194501,-2.17
194502,1.16
194503,-2.27
194504,-1.39
194505,-2.93
194506,-0.40
194507,0.79
194508,0.52
194509,-1.27
194510,-1.83
194511,-0.76
194512,-3.41
194601,-0.55
194602,-2.25
194603,-2.25
194604,-0.67
194605,-1.41
194606,0.75
194607,0.28
194608,0.07
194609,0.94
194610,-3.27
194611,-1.83
194612,-0.92
194701,-3.84
194702,-7.25
194703,-3.99
194704,-1.23
194705,-1.38
194706,1.17
194707,-0.28
194708,-0.60
194709,0.83
194710,-1.53
194711,-0.94
194712,0.48
194801,-0.85
194802,-2.94
194803,-0.71
194804,0.15
194805,0.91
194806,1.18
194807,-1.01
194808,-0.37
194809,0.39
194810,-0.43
194811,0.05
194812,1.48
194901,2.05
194902,2.23
194903,-1.03
194904,-0.46
194905,0.92
194906,-0.65
194907,-1.04
194908,-1.69
194909,2.25
194910,0.46
194911,1.51
194912,2.55
195001,-8.02
195002,0.97
195003,-0.34
195004,1.81
195005,-1.06
195006,-0.67
195007,-2.05
195008,-1.25
195009,0.60
195010,-0.50
195011,0.03
195012,1.14
195101,-3.31
195102,-1.41
195103,-3.67
195104,0.14
195105,-3.84
195106,-0.67
195107,-1.79
195108,0.69
195109,1.01
195110,-0.59
195111,-0.57
195112,2.62
195201,1.87
195202,0.17
195203,-7.88
195204,0.24
195205,-3.30
195206,-1.23
195207,-1.18
195208,-0.91
195209,-1.69
195210,-2.10
195211,-1.18
195212,-0.58
195301,-2.24
195302,-4.18
195303,-0.56
195304,0.48
195305,-1.03
195306,1.29
195307,0.00
195308,-0.64
195309,-0.33
195310,1.29
195311,-0.16
195312,-0.19
195401,-4.42
195402,-6.71
195403,0.21
195404,-2.66
195405,0.49
195406,1.01
195407,-0.59
195408,-0.54
195409,0.49
195410,-0.04
195411,-0.50
195412,2.31
195501,-0.56
195502,-1.62
195503,-3.75
195504,-5.13
195505,-2.98
195506,-2.36
195507,-0.61
195508,0.94
195509,2.29
195510,1.07
195511,-0.59
195512,-4.44
195601,-2.16
195602,-8.15
195603,-3.48
195604,-4.21
195605,-1.36
195606,2.13
195607,-2.41
195608,-2.77
195609,-1.98
195610,-0.72
195611,-2.72
195612,1.09
195701,1.80
195702,2.77
195703,-3.48
195704,-1.12
195705,-0.82
195706,-1.33
195707,-0.27
195708,-0.83
195709,-0.89
195710,0.18
195711,0.89
195712,0.51
195801,-1.81
195802,-1.94
195803,-5.15
195804,-3.03
195805,-0.42
195806,-1.58
195807,-1.75
195808,-1.61
195809,-0.53
195810,0.91
195811,1.70
195812,-1.39
195901,1.02
195902,1.85
195903,1.19
195904,-0.01
195905,-1.02
195906,0.53
195907,1.02
195908,0.91
195909,-2.11
195910,-1.22
195911,-0.39
195912,-2.87
196001,-3.93
196002,-2.94
196003,-3.63
196004,-1.96
196005,-0.27
196006,1.03
196007,0.51
196008,-0.45
196009,-0.95
196010,-2.03
196011,-0.03
196012,4.17
196101,1.08
196102,4.08
196103,1.80
196104,-0.80
196105,-0.63
196106,1.99
196107,-1.41
196108,-1.73
196109,-0.65
196110,1.92
196111,1.12
196112,-0.81
196201,1.81
196202,-0.10
196203,-5.80
196204,0.45
196205,-1.53
196206,-2.53
196207,-2.63
196208,-2.49
196209,-0.97
196210,0.66
196211,1.24
196212,-1.75
196301,-7.19
196302,-5.23
196303,-7.01
196304,-2.16
196305,2.81
196306,-1.09
196307,-0.05
196308,0.97
196309,1.86
196310,0.31
196311,0.09
196312,-2.96
196401,0.40
196402,-3.59
196403,-4.39
196404,-1.12
196405,-0.62
196406,1.46
196407,-0.69
196408,-1.88
196409,-0.39
196410,0.95
196411,-0.28
196412,0.77
196501,-0.50
196502,-3.01
196503,-2.36
196504,-1.93
196505,-3.21
196506,-0.17
196507,-2.82
196508,-1.76
196509,1.64
196510,-0.55
196511,-4.19
196512,0.43
196601,-5.87
196602,-4.43
196603,-0.27
196604,-2.46
196605,0.73
196606,1.29
196607,-0.05
196608,-1.31
196609,-1.42
196610,0.36
196611,0.05
196612,-2.41
196701,-6.54
196702,-0.43
196703,1.86
196704,-0.81
196705,1.00
196706,-0.75
196707,-1.02
196708,-0.46
196709,1.42
196710,2.74
196711,2.60
196712,-3.71
196801,-7.69
196802,-0.90
196803,-0.30
196804,-0.47
196805,-1.64
196806,0.89
196807,-2.64
196808,0.48
196809,0.06
196810,-1.92
196811,-0.96
196812,0.28
196901,-6.97
196902,-3.12
196903,-5.30
196904,-1.37
196905,-1.41
196906,-0.54
196907,-1.03
196908,-0.89
196909,-0.76
196910,-0.78
196911,0.85
196912,-4.42
197001,-5.49
197002,-4.44
197003,-0.80
197004,-1.26
197005,-0.24
197006,0.38
197007,-0.77
197008,-0.79
197009,-0.73
197010,-1.44
197011,0.03
197012,-0.75
197101,1.85
197102,-0.23
197103,-2.91
197104,-1.58
197105,0.16
197106,-0.41
197107,-1.04
197108,0.38
197109,-1.10
197110,-0.92
197111,-1.15
197112,1.25
197201,-5.84
197202,1.04
197203,-0.64
197204,-1.28
197205,-0.94
197206,1.52
197207,1.98
197208,1.37
197209,-0.53
197210,-1.59
197211,0.32
197212,3.51
197301,-0.19
197302,1.97
197303,0.67
197304,-0.73
197305,-0.59
197306,1.29
197307,1.00
197308,-0.81
197309,-2.83
197310,-2.34
197311,-1.53
197312,-1.80
197401,-0.43
197402,3.94
197403,0.71
197404,-2.30
197405,-3.16
197406,-0.61
197407,-1.38
197408,-0.95
197409,1.34
197410,0.76
197411,1.53
197412,3.06
197501,3.36
197502,2.03
197503,2.18
197504,-0.11
197505,1.79
197506,-0.84
197507,-0.05
197508,0.39
197509,2.30
197510,-0.32
197511,-1.16
197512,1.78
197601,-3.61
197602,-2.85
197603,-2.58
197604,-2.01
197605,-1.36
197606,-2.63
197607,-1.34
197608,-1.89
197609,-1.18
197610,-4.89
197611,0.23
197612,-0.53
197701,-2.31
197702,-1.46
197703,-0.61
197704,-1.59
197705,-0.06
197706,0.01
197707,-2.16
197708,-1.75
197709,-1.85
197710,-0.79
197711,2.00
197712,-1.74
197801,-1.29
197802,-3.75
197803,0.67
197804,-2.19
197805,-1.87
197806,-1.41
197807,-2.04
197808,-1.41
197809,-2.09
197810,-1.42
197811,2.88
197812,-8.75
197901,-3.88
197902,-3.75
197903,-0.07
197904,-2.33
197905,0.70
197906,1.03
197907,-2.85
197908,-0.02
197909,-0.52
197910,-1.26
197911,0.22
197912,0.46
198001,-4.08
198002,-2.62
198003,-4.58
198004,-0.85
198005,-3.82
198006,1.17
198007,-1.29
198008,-1.26
198009,-0.22
198010,0.04
198011,-1.76
198012,0.40
198101,-0.20
198102,0.26
198103,-2.35
198104,-3.08
198105,0.80
198106,0.14
198107,-0.26
198108,-1.45
198109,-0.34
198110,1.09
198111,0.01
198112,-1.48
198201,-3.84
198202,-1.12
198203,0.65
198204,-1.68
198205,-0.88
198206,-2.49
198207,-0.80
198208,-0.26
198209,-0.11
198210,-0.19
198211,2.84
198212,2.90
198301,3.68
198302,-1.85
198303,-1.20
198304,1.19
198305,2.12
198306,-0.76
198307,-0.41
198308,-0.38
198309,1.03
198310,0.45
198311,-0.34
198312,0.76
198401,1.02
198402,-1.51
198403,-1.94
198404,0.90
198405,1.59
198406,-0.99
198407,-1.89
198408,-0.73
198409,-0.62
198410,1.56
198411,-0.87
198412,-0.68
198501,-7.17
198502,-8.57
198503,-0.79
198504,-2.58
198505,-0.37
198506,-1.04
198507,-1.84
198508,0.84
198509,-1.08
198510,1.25
198511,-1.63
198512,-1.56
198601,-0.73
198602,-5.88
198603,0.70
198604,-0.78
198605,0.60
198606,1.31
198607,-0.39
198608,-0.97
198609,-2.86
198610,-0.46
198611,2.19
198612,-2.49
198701,-10.68
198702,0.00
198703,-4.87
198704,-2.74
198705,-1.33
198706,-1.00
198707,-2.09
198708,-2.62
198709,-1.45
198710,-0.48
198711,-0.67
198712,-0.84
198801,0.44
198802,1.03
198803,-0.39
198804,-1.79
198805,1.50
198806,1.65
198807,1.97
198808,-0.99
198809,0.76
198810,-0.45
198811,-3.17
198812,-1.73
198901,4.36
198902,5.75
198903,3.48
198904,1.64
198905,0.53
198906,1.40
198907,0.04
198908,-0.78
198909,0.98
198910,-0.07
198911,-0.40
198912,-0.49
199001,2.10
199002,6.73
199003,3.64
199004,1.81
199005,-0.91
199006,-0.69
199007,-1.77
199008,-0.54
199009,-1.78
199010,0.04
199011,0.85
199012,0.93
199101,1.76
199102,-0.03
199103,0.83
199104,0.05
199105,-2.18
199106,-0.91
199107,-0.25
199108,0.61
199109,0.22
199110,0.32
199111,2.06
199112,1.83
199201,2.78
199202,3.06
199203,2.72
199204,-1.37
199205,0.01
199206,0.68
199207,-0.06
199208,0.54
199209,1.03
199210,-3.56
199211,-1.85
199212,1.95
199301,2.44
199302,2.48
199303,-0.23
199304,-0.26
199305,2.03
199306,-2.13
199307,-1.52
199308,-1.85
199309,-3.39
199310,-1.34
199311,-5.73
199312,0.94
199401,1.58
199402,-5.71
199403,-0.55
199404,1.07
199405,-1.78
199406,-1.60
199407,1.27
199408,-0.06
199409,1.04
199410,-1.02
199411,-0.45
199412,0.49
199501,0.27
199502,4.79
199503,2.04
199504,-0.07
199505,-0.38
199506,2.68
199507,-1.38
199508,-0.08
199509,0.07
199510,1.54
199511,-1.86
199512,-3.86
199601,-3.25
199602,-4.71
199603,-2.68
199604,-0.52
199605,-0.07
199606,-0.73
199607,-2.37
199608,0.98
199609,-2.01
199610,0.52
199611,2.85
199612,-2.36
199701,0.23
199702,2.63
199703,0.29
199704,-2.23
199705,-2.01
199706,0.66
199707,0.52
199708,1.87
199709,-0.67
199710,-1.77
199711,0.17
199712,-1.46
199801,3.00
199802,1.57
199803,-1.55
199804,-0.02
199805,0.36
199806,1.05
199807,-0.98
199808,-1.78
199809,0.04
199810,-0.21
199811,-5.09
199812,-0.47
199901,0.31
199902,-1.20
199903,0.88
199904,2.69
199905,-2.41
199906,3.70
199907,1.64
199908,-0.50
199909,1.60
199910,0.68
199911,0.22
199912,1.76
200001,1.20
200002,3.42
200003,1.04
200004,2.97
200005,-0.20
200006,-0.64
200007,-1.18
200008,-0.80
200009,-1.27
200010,2.16
200011,2.95
200012,3.19
200101,2.67
200102,-0.22
200103,-1.29
200104,2.04
200105,-0.51
200106,-0.55
200107,2.91
200108,0.22
200109,0.63
200110,1.35
200111,-0.28
200112,-4.42
200201,1.36
200202,4.66
200203,2.38
200204,0.97
200205,1.55
200206,1.07
200207,1.85
200208,2.09
200209,0.30
200210,-3.65
200211,-1.13
200212,-5.35
200301,-2.66
200302,-0.98
200303,-0.13
200304,-2.25
200305,0.52
200306,-1.42
200307,1.97
200308,-0.32
200309,0.45
200310,-1.52
200311,1.57
200312,2.54
200401,-2.55
200402,0.41
200403,0.68
200404,0.35
200405,-0.83
200406,-1.25
200407,-0.59
200408,0.96
200409,0.92
200410,0.27
200411,-0.38
200412,2.81
200501,2.95
200502,-1.58
200503,-4.25
200504,0.09
200505,0.05
200506,-0.20
200507,0.97
200508,0.36
200509,1.76
200510,1.19
200511,1.95
200512,0.14
200601,-1.58
200602,-3.55
200603,-3.18
200604,-0.25
200605,-0.02
200606,1.02
200607,1.39
200608,1.19
200609,2.69
200610,2.40
200611,2.03
200612,5.74
200701,3.34
200702,-4.08
200703,4.66
200704,0.27
200705,1.01
200706,1.27
200707,-0.37
200708,1.97
200709,0.31
200710,0.74
200711,-0.37
200712,3.34
200801,3.14
200802,5.45
200803,1.87
200804,1.85
200805,-0.58
200806,0.00
200807,-0.51
200808,0.24
200809,-0.53
200810,1.98
200811,1.90
200812,2.54
200901,1.41
200902,0.45
200903,0.27
200904,0.94
200905,0.11
200906,-0.69
200907,-0.22
200908,-0.36
200909,1.76
200910,-1.46
200911,2.02
200912,-0.78
201001,-7.37
201002,-1.72
201003,-0.74
201004,0.81
201005,1.70
201006,0.45
201007,4.37
201008,2.60
201009,0.51
201010,-1.37
201011,0.59
201012,-3.86
201101,-0.28
201102,-4.60
201103,-0.35
201104,0.51
201105,0.14
201106,2.45
201107,3.04
201108,0.76
201109,1.65
201110,1.11
201111,2.77
201112,4.36
201201,-0.07
201202,-4.63
201203,0.74
201204,0.18
201205,0.80
201206,-0.78
201207,0.94
201208,-0.48
201209,1.37
201210,0.18
201211,2.40
201212,-2.52
201301,-2.42
201302,1.80
201303,-5.04
201304,-1.35
201305,3.21
201306,3.08
201307,0.38
201308,0.64
201309,0.64
201310,0.89
201311,3.06
201312,3.66
201401,-2.32
201402,4.27
201403,3.55
201404,1.22
201405,1.17
201406,-0.80
201407,2.09
201408,1.21
201409,1.46
201410,-0.32
201411,0.72
201412,1.18
201501,2.46
201502,3.72
201503,3.86
201504,0.55
201505,-0.40
201506,-0.34
201507,-0.94
201508,1.07
201509,1.62
201510,-1.11
201511,2.76
201512,4.73
201601,-3.77
201602,4.86
201603,1.25
201604,0.87
201605,2.17
201606,1.28
201607,0.79
201608,0.28
201609,1.56
201610,-1.50
201611,-1.11
201612,2.20
201701,0.15
201702,1.81
201703,2.48
201704,-1.41
201705,-1.09
201706,-1.12
201707,-1.60
201708,0.27
201709,1.17
201710,-0.51
201711,1.86
201712,3.07
201801,1.98
201802,-2.23
201803,-2.19
201804,1.79
201805,2.99
201806,0.70
201807,2.31
201808,1.86
201809,2.81
201810,1.05
201811,1.63
201812,1.14
201901,-0.43
201902,4.19
201903,2.22
201904,1.45
201905,0.21
201906,3.24
201907,-1.02
201908,0.15
201909,0.69
201910,1.12
201911,2.25
201912,4.58
202001,6.08
202002,5.98
202003,3.45
202004,0.05
202005,-1.26
202006,3.11
202007,-0.83
202008,0.55
